"RNAseq1" "RNAseq2" "RNAseq3" "RNAseq4" "RNAseq5" "RNAseq6" "RNAseq7" "RNAseq8"
"ENSBTAG00000000375" 2758 3427 3498 2678 5384 2562 1861 2767
"ENSBTAG00000000376" 334 182 281 165 536 257 88 395
"ENSBTAG00000000377" 97 93 117 127 74 65 127 111
"ENSBTAG00000000379" 762 826 847 659 876 755 564 638
"ENSBTAG00000000380" 227 324 246 230 362 262 212 243
"ENSBTAG00000000381" 2 1 2 2 1 1 0 2
"ENSBTAG00000000382" 475 474 551 357 646 401 293 451
"ENSBTAG00000000385" 481 478 437 374 455 252 242 309
"ENSBTAG00000000386" 9 5 26 16 14 20 13 10
"ENSBTAG00000000387" 572 706 990 611 601 729 763 598
"ENSBTAG00000000389" 76 89 87 72 82 89 90 68
"ENSBTAG00000000390" 897 1269 1275 1057 1728 1064 1176 1341
"ENSBTAG00000000392" 606 640 858 634 834 684 569 811
"ENSBTAG00000000393" 140 230 206 225 167 148 148 158
"ENSBTAG00000000394" 557 511 952 296 1659 1187 839 682
"ENSBTAG00000000395" 26 33 47 17 46 7 45 64
"ENSBTAG00000000396" 78 129 92 111 193 110 111 109
"ENSBTAG00000000397" 0 0 0 0 2 0 0 2
"ENSBTAG00000000399" 9 3 4 4 5 4 6 6
"ENSBTAG00000000400" 0 0 4 0 4 0 3 2
"ENSBTAG00000000401" 3 1 4 0 6 9 9 5
"ENSBTAG00000000404" 813 1062 872 802 1143 862 553 712
"ENSBTAG00000000405" 450 706 609 507 604 590 588 491
"ENSBTAG00000000406" 145 286 300 239 243 192 127 167
"ENSBTAG00000000409" 1295 1520 1730 1339 1726 1415 1386 1257
"ENSBTAG00000000410" 0 2 1 0 0 0 0 0
"ENSBTAG00000000411" 861 965 1012 699 1008 757 790 723
"ENSBTAG00000000413" 6 41 37 25 37 24 21 24
"ENSBTAG00000000414" 142 547 261 39 42 184 28 137
"ENSBTAG00000000415" 7534 7410 8742 8174 9640 6107 7146 7777
"ENSBTAG00000000417" 779 872 1114 429 1112 837 773 651
"ENSBTAG00000000418" 3 4 7 1 26 17 12 12
"ENSBTAG00000000419" 33 21 7 32 13 0 2 9
"ENSBTAG00000000421" 3291 3222 4434 3057 6444 2869 3399 4387
"ENSBTAG00000000422" 474 500 493 364 543 305 420 429
"ENSBTAG00000000423" 547 727 780 610 479 515 579 447
"ENSBTAG00000000425" 270 469 674 352 309 636 469 395
"ENSBTAG00000000426" 0 0 0 0 0 0 0 0
"ENSBTAG00000000428" 127 273 219 119 307 246 197 177
"ENSBTAG00000000429" 510 604 811 465 843 541 479 547
"ENSBTAG00000000431" 124 428 416 170 143 340 136 137
"ENSBTAG00000000432" 119 165 283 73 251 148 116 195
"ENSBTAG00000000434" 136 194 140 347 144 126 145 165
"ENSBTAG00000000435" 190 322 338 214 207 268 261 220
"ENSBTAG00000000436" 107 107 188 88 223 109 105 164
"ENSBTAG00000000437" 15 17 13 35 28 23 15 16
"ENSBTAG00000000438" 0 0 0 3 0 0 0 0
"ENSBTAG00000000439" 721 680 888 539 1020 523 559 618
"ENSBTAG00000000440" 10 31 22 51 25 17 36 18
"ENSBTAG00000000441" 14 15 17 4 19 17 19 19
"ENSBTAG00000000442" 1225 1145 2220 860 3293 1638 1082 1990
"ENSBTAG00000000445" 21 9 8 15 4 7 1 3
"ENSBTAG00000000446" 574 520 604 504 1046 499 438 619
"ENSBTAG00000000447" 541 708 885 627 960 628 600 635
"ENSBTAG00000000448" 553 708 250 274 205 106 424 218
"ENSBTAG00000000451" 267 460 345 335 435 353 242 240
"ENSBTAG00000000454" 1310 1514 980 1123 958 748 823 828
"ENSBTAG00000000455" 1126 1406 1623 1271 1292 1212 1421 1289
"ENSBTAG00000000456" 0 0 0 0 0 0 3 0
"ENSBTAG00000000457" 54 62 24 114 79 42 25 55
"ENSBTAG00000000458" 1159 1146 1047 1000 1797 805 967 1145
"ENSBTAG00000000459" 94 107 96 102 135 64 55 99
"ENSBTAG00000000460" 579 766 951 808 788 424 939 838
"ENSBTAG00000000462" 103 279 219 186 206 185 166 140
"ENSBTAG00000000469" 3711 4400 3443 3584 5775 2821 2613 3414
"ENSBTAG00000000470" 290 97 9 80 1 0 6 5
"ENSBTAG00000000472" 894 937 1416 1097 958 879 885 928
"ENSBTAG00000000473" 717 638 929 402 1166 718 817 797
"ENSBTAG00000000475" 611 535 685 493 432 533 563 486
"ENSBTAG00000000476" 14 18 54 31 59 35 44 50
"ENSBTAG00000000477" 145 91 99 71 218 193 65 75
"ENSBTAG00000000478" 2 4 3 3 2 4 3 6
"ENSBTAG00000000480" 121 238 148 149 245 172 135 91
"ENSBTAG00000000483" 234 290 224 173 264 215 197 186
"ENSBTAG00000000484" 807 1095 649 548 986 698 607 643
"ENSBTAG00000000487" 0 0 0 0 0 0 0 1
"ENSBTAG00000000489" 106 154 199 135 238 196 135 188
"ENSBTAG00000000490" 124 121 136 153 118 86 120 89
"ENSBTAG00000000492" 1041 1628 1947 1499 2460 1466 1112 1420
"ENSBTAG00000000494" 1285 1883 2105 1071 2800 1309 2151 1878
"ENSBTAG00000000495" 850 903 1060 685 1047 840 831 819
